name;classification;attack;defense
Swablu;Cotton Bird Pokémon;40;60
Budew;Bud Pokémon;30;35
Minun;Cheering Pokémon;40;50
Metapod;Cocoon Pokémon;20;55
Chikorita;Leaf Pokémon;49;65
Pinsir;Stagbeetle Pokémon;155;120
Cinccino;Scarf Pokémon;95;60
Elgyem;Cerebral Pokémon;55;55
Foongus;Mushroom Pokémon;55;45
Ariados;Long Leg Pokémon;90;70
Aipom;Long Tail Pokémon;70;55
Accelgor;Shell Out Pokémon;70;40
Dialga;Temporal Pokémon;120;120
Starly;Starling Pokémon;55;30
Ledyba;Five Star Pokémon;20;30
Politoed;Frog Pokémon;75;75
Dodrio;Triple Bird Pokémon;110;70
Aggron;Iron Armor Pokémon;140;230
Mankey;Pig Monkey Pokémon;80;35
Hitmonlee;Kicking Pokémon;120;53
Oshawott;Sea Otter Pokémon;55;45
Cyndaquil;Fire Mouse Pokémon;52;43
Goldeen;Goldfish Pokémon;67;60
Swinub;Pig Pokémon;50;40
Nihilego;Parasite Pokémon;53;47
Mudkip;Mud Fish Pokémon;70;50
Sewaddle;Sewing Pokémon;53;70
Weezing;Poison Gas Pokémon;90;120
Grumpig;Manipulate Pokémon;45;65
Lopunny;Rabbit Pokémon;136;94
Togepi;Spike Ball Pokémon;20;65
Teddiursa;Little Bear Pokémon;80;50
Lampent;Lamp Pokémon;40;60
Palkia;Spatial Pokémon;120;100
Shroomish;Mushroom Pokémon;40;60
Porygon-Z;Virtual Pokémon;80;70
Flygon;Mystic Pokémon;100;80
Tynamo;EleFish Pokémon;55;40
Machop;Superpower Pokémon;80;50
Zekrom;Deep Black Pokémon;150;120
Wigglytuff;Balloon Pokémon;70;45
Heracross;Singlehorn Pokémon;185;115
Archeops;First Bird Pokémon;140;65
Gyarados;Atrocious Pokémon;155;109
Gliscor;Fang Scorp Pokémon;95;125
Tranquill;Wild Pigeon Pokémon;77;62
Gardevoir;Embrace Pokémon;85;65
Azelf;Willpower Pokémon;125;70
Regice;Iceberg Pokémon;50;100
Roselia;Thorn Pokémon;60;45
Chimecho;Wind Chime Pokémon;50;80
Bounsweet;Fruit Pokémon;30;38
Pikachu;Mouse Pokémon;55;40
Articuno;Freeze Pokémon;85;100
Machoke;Superpower Pokémon;100;70
Gumshoos;Stakeout Pokémon;110;60
Pikipek;Woodpecker Pokémon;75;30
Cloyster;Bivalve Pokémon;95;180
Crawdaunt;Rogue Pokémon;120;85
Whismur;Whisper Pokémon;51;23
Silcoon;Cocoon Pokémon;35;55
Chandelure;Luring Pokémon;55;90
Jumpluff;Cottonweed Pokémon;55;70
Amoonguss;Mushroom Pokémon;85;70
Victreebel;Flycatcher Pokémon;105;65
Metagross;Iron Leg Pokémon;145;150
Braixen;Fox Pokémon;59;58
Tapu Bulu;Land Spirit Pokémon;130;115
Magikarp;Fish Pokémon;10;55
Simisear;Ember Pokémon;98;63
Charjabug;Battery Pokémon;82;95
Ducklett;Water Bird Pokémon;44;50
Eelektrik;EleFish Pokémon;85;70
Gallade;Blade Pokémon;165;95
Fletchling;Tiny Robin Pokémon;50;43
Murkrow;Darkness Pokémon;85;42
Noctowl;Owl Pokémon;50;50
Anorith;Old Shrimp Pokémon;95;50
Forretress;Bagworm Pokémon;90;140
Nidorino;Poison Pin Pokémon;72;57
Ferroseed;Thorn Seed Pokémon;50;91
Chingling;Bell Pokémon;30;50
