name;capture_rate;height_m;weight_kg;classification;type
Cranidos;45.0;0.9;4;Head Butt Pokémon;rock
Servine;45.0;0.8;5;Grass Snake Pokémon;grass
Mudsdale;60.0;2.5;7;Draft Horse Pokémon;ground
Inkay;190.0;0.4;6;Revolving Pokémon;psychic
Spheal;255.0;0.8;3;Clap Pokémon;water
Lickitung;45.0;1.2;1;Licking Pokémon;normal
Azelf;3.0;0.3;4;Willpower Pokémon;psychic
Carnivine;200.0;1.4;4;Bug Catcher Pokémon;grass
Alakazam;50.0;1.5;1;Psi Pokémon;psychic
Alomomola;75.0;1.2;5;Caring Pokémon;water
Medicham;90.0;1.3;3;Meditate Pokémon;psychic
Chingling;120.0;0.2;4;Bell Pokémon;psychic
Beartic;60.0;2.6;5;Freezing Pokémon;ice
Amoonguss;75.0;0.6;5;Mushroom Pokémon;poison
Magneton;60.0;1.0;1;Magnet Pokémon;steel
Umbreon;45.0;1.0;2;Moonlight Pokémon;dark
Barbaracle;45.0;1.3;6;Collective Pokémon;water
Rotom;45.0;0.3;4;Plasma Pokémon;ghost
Pansear;190.0;0.6;5;High Temp Pokémon;fire
Steelix;25.0;9.2;2;Iron Snake Pokémon;ground
Seismitoad;45.0;1.5;5;Vibration Pokémon;ground
Espeon;45.0;0.9;2;Sun Pokémon;psychic
Ampharos;45.0;1.4;2;Light Pokémon;electric
Drilbur;120.0;0.3;5;Mole Pokémon;ground
Mudkip;45.0;0.4;3;Mud Fish Pokémon;water
Swinub;225.0;0.4;2;Pig Pokémon;ground
Sylveon;45.0;1.0;6;Intertwining Pokémon;fairy
Budew;255.0;0.2;4;Bud Pokémon;poison
Shaymin;45.0;0.2;4;Gratitude Pokémon;grass
Lairon;90.0;0.9;3;Iron Armor Pokémon;rock
Incineroar;45.0;1.8;7;Heel Pokémon;dark
Growlithe;190.0;0.7;1;Puppy Pokémon;fire
Gorebyss;60.0;1.8;3;South Sea Pokémon;water
Silvally;3.0;2.3;7;Synthetic Pokémon;normal
Shiftry;45.0;1.3;3;Wickid Pokémon;dark
Grumpig;60.0;0.9;3;Manipulate Pokémon;psychic
Popplio;45.0;0.4;7;Sea Lion Pokémon;water
Treecko;45.0;0.5;3;Wood Gecko Pokémon;grass
Spinarak;255.0;0.5;2;String Spit Pokémon;poison
Vibrava;120.0;1.1;3;Vibration Pokémon;dragon
Goodra;45.0;2.0;6;Dragon Pokémon;dragon
Cottonee;190.0;0.3;5;Cotton Puff Pokémon;fairy
Phione;30.0;0.4;4;Sea Drifter Pokémon;water
Xurkitree;30.0;3.8;7;Glowing Pokémon;electric
Monferno;45.0;0.9;4;Playful Pokémon;fighting
Binacle;120.0;0.5;6;Two-Handed Pokémon;water
Magcargo;75.0;0.8;2;Lava Pokémon;rock
Swoobat;45.0;0.9;5;Courting Pokémon;flying
Spearow;255.0;0.3;1;Tiny Bird Pokémon;flying
Regice;3.0;1.8;3;Iceberg Pokémon;ice
Lampent;90.0;0.6;5;Lamp Pokémon;fire
Zekrom;3.0;2.9;5;Deep Black Pokémon;electric
Weezing;60.0;1.2;1;Poison Gas Pokémon;poison
Lillipup;255.0;0.4;5;Puppy Pokémon;normal
Litten;45.0;0.4;7;Fire Cat Pokémon;fire
Feebas;255.0;0.6;3;Fish Pokémon;water
Houndoom;45.0;1.4;2;Dark Pokémon;fire
Helioptile;190.0;0.5;6;Generator Pokémon;normal
Krookodile;45.0;1.5;5;Intimidation Pokémon;dark
Camerupt;150.0;1.9;3;Eruption Pokémon;ground
Ducklett;190.0;0.5;5;Water Bird Pokémon;flying
Cofagrigus;90.0;1.7;5;Coffin Pokémon;ghost
Cherubi;190.0;0.4;4;Cherry Pokémon;grass
Tentacruel;60.0;1.6;1;Jellyfish Pokémon;poison
Joltik;190.0;0.1;5;Attaching Pokémon;electric
Moltres;3.0;2.0;1;Flame Pokémon;flying
Mankey;190.0;0.5;1;Pig Monkey Pokémon;rock
Smoochum;45.0;0.4;2;Kiss Pokémon;psychic
Kabutops;45.0;1.3;1;Shellfish Pokémon;water
Hitmonchan;45.0;1.4;1;Punching Pokémon;fighting
Skuntank;60.0;1.0;4;Skunk Pokémon;dark
Dratini;45.0;1.8;1;Dragon Pokémon;dragon
Elekid;45.0;0.6;2;Electric Pokémon;electric
Bronzong;90.0;1.3;4;Bronze Bell Pokémon;psychic
Swablu;255.0;0.4;3;Cotton Bird Pokémon;flying
Articuno;3.0;1.7;1;Freeze Pokémon;flying
Tapu Bulu;3.0;1.9;7;Land Spirit Pokémon;fairy
Comfey;60.0;0.1;7;Posy Picker Pokémon;fairy
Meloetta;3.0;0.6;5;Melody Pokémon;psychic
Taillow;200.0;0.3;3;TinySwallow Pokémon;flying
Clawitzer;55.0;1.3;6;Howitzer Pokémon;water
Charjabug;120.0;0.5;7;Battery Pokémon;electric
Zweilous;45.0;1.4;5;Hostile Pokémon;dragon
Torchic;45.0;0.4;3;Chick Pokémon;fire
Zorua;75.0;0.7;5;Tricky Fox Pokémon;dark
Wailmer;125.0;2.0;3;Ball Whale Pokémon;water
Cleffa;150.0;0.3;2;Star Shape Pokémon;fairy
Shelgon;45.0;1.1;3;Endurance Pokémon;dark
Piloswine;75.0;1.1;2;Swine Pokémon;ground
Basculin;25.0;1.0;5;Hostile Pokémon;water
Virizion;3.0;2.0;5;Grassland Pokémon;fighting
Crustle;75.0;1.4;5;Stone Home Pokémon;rock
Horsea;225.0;0.4;1;Dragon Pokémon;water
Slowbro;75.0;1.6;1;Hermit Crab Pokémon;psychic
Hawlucha;100.0;0.8;6;Wrestling Pokémon;flying
Combusken;45.0;0.9;3;Young Fowl Pokémon;fighting
Ariados;90.0;1.1;2;Long Leg Pokémon;poison
Armaldo;45.0;1.5;3;Plate Pokémon;bug
Burmy;120.0;0.2;4;Bagworm Pokémon;bug
Pancham;220.0;0.6;6;Playful Pokémon;fighting
Gogoat;45.0;1.7;6;Mount Pokémon;grass
Weepinbell;120.0;1.0;1;Flycatcher Pokémon;poison
Meditite;180.0;0.6;3;Meditate Pokémon;psychic
Kartana;255.0;0.3;7;Drawn Sword Pokémon;steel
Tentacool;190.0;0.9;1;Jellyfish Pokémon;poison
