name;classification;attack;defense;capture_rate;height_m;weight_kg;type
Abra;Psi Pokémon;20;15;200.0;0.9;1;psychic
Absol;Disaster Pokémon;150;60;30.0;1.2;3;dark
Accelgor;Shell Out Pokémon;70;40;75.0;0.8;5;poison
Aerodactyl;Fossil Pokémon;135;85;45.0;1.8;1;flying
Aggron;Iron Armor Pokémon;140;230;45.0;2.1;3;rock
Aipom;Long Tail Pokémon;70;55;45.0;0.8;2;poison
Alakazam;Psi Pokémon;50;65;50.0;1.5;1;psychic
Alomomola;Caring Pokémon;75;80;75.0;1.2;5;water
Altaria;Humming Pokémon;110;110;45.0;1.1;3;flying
Amaura;Tundra Pokémon;59;50;45.0;1.3;6;ice
Ambipom;Long Tail Pokémon;100;66;45.0;1.2;4;normal
Amoonguss;Mushroom Pokémon;85;70;75.0;0.6;5;poison
Ampharos;Light Pokémon;95;105;45.0;1.4;2;electric
Anorith;Old Shrimp Pokémon;95;50;45.0;0.7;3;bug
Araquanid;Water Bubble Pokémon;70;92;100.0;1.8;7;water
Arcanine;Legendary Pokémon;110;80;75.0;1.9;1;fire
Archen;First Bird Pokémon;112;45;45.0;0.5;5;flying
Archeops;First Bird Pokémon;140;65;45.0;1.4;5;flying
Ariados;Long Leg Pokémon;90;70;90.0;1.1;2;poison
Armaldo;Plate Pokémon;125;100;45.0;1.5;3;bug
Aron;Iron Armor Pokémon;70;100;180.0;0.4;3;rock
Articuno;Freeze Pokémon;85;100;3.0;1.7;1;flying
Aurorus;Tundra Pokémon;77;72;45.0;2.7;6;ice
Avalugg;Iceberg Pokémon;117;184;55.0;2.0;6;ice
Azelf;Willpower Pokémon;125;70;3.0;0.3;4;psychic
Azumarill;Aquarabbit Pokémon;50;80;75.0;0.8;2;fairy
Bagon;Rock Head Pokémon;75;60;45.0;0.6;3;dragon
Baltoy;Clay Doll Pokémon;40;55;255.0;0.5;3;psychic
Banette;Marionette Pokémon;165;75;45.0;1.1;3;ghost
Barbaracle;Collective Pokémon;105;115;45.0;1.3;6;water
Barboach;Whiskers Pokémon;48;43;190.0;0.4;3;ground
Basculin;Hostile Pokémon;92;65;25.0;1.0;5;water
Bayleef;Leaf Pokémon;62;80;45.0;1.2;2;grass
Beartic;Freezing Pokémon;130;80;60.0;2.6;5;ice
Beautifly;Butterfly Pokémon;70;50;45.0;1.0;3;flying
Beheeyem;Cerebral Pokémon;75;75;90.0;1.0;5;psychic
Beldum;Iron Ball Pokémon;55;80;3.0;0.6;3;psychic
Bewear;Strong Arm Pokémon;125;80;70.0;2.1;7;fighting
Bidoof;Plump Mouse Pokémon;45;40;255.0;0.5;4;normal
Binacle;Two-Handed Pokémon;52;67;120.0;0.5;6;water
Bisharp;Sword Blade Pokémon;125;100;45.0;1.6;5;steel
Blastoise;Shellfish Pokémon;103;120;45.0;1.6;1;water
Blaziken;Blaze Pokémon;160;80;45.0;1.9;3;fighting
Blitzle;Electrified Pokémon;60;32;190.0;0.8;5;electric
Boldore;Ore Pokémon;105;105;120.0;0.9;5;rock
Bouffalant;Bash Buffalo Pokémon;110;95;45.0;1.6;5;normal
Bounsweet;Fruit Pokémon;30;38;235.0;0.3;7;grass
Braixen;Fox Pokémon;59;58;45.0;1.0;6;fire
Breloom;Mushroom Pokémon;130;80;90.0;1.2;3;fighting
Brionne;Pop Star Pokémon;69;69;45.0;0.6;7;water
Bronzong;Bronze Bell Pokémon;89;116;90.0;1.3;4;psychic
Budew;Bud Pokémon;30;35;255.0;0.2;4;poison
Buizel;Sea Weasel Pokémon;65;35;190.0;0.7;4;water
Burmy;Bagworm Pokémon;29;45;120.0;0.2;4;bug
Butterfree;Butterfly Pokémon;45;50;45.0;1.1;1;flying
Buzzwole;Swollen Pokémon;139;139;25.0;2.4;7;fighting
