name;classification;type;attack;defense;capture_rate;height_m;weight_kg
Abra;Psi Pokémon;psychic;20;15;200.0;0.9;1
Absol;Disaster Pokémon;dark;150;60;30.0;1.2;3
Accelgor;Shell Out Pokémon;poison;70;40;75.0;0.8;5
Aerodactyl;Fossil Pokémon;flying;135;85;45.0;1.8;1
Aggron;Iron Armor Pokémon;rock;140;230;45.0;2.1;3
Aipom;Long Tail Pokémon;poison;70;55;45.0;0.8;2
Alakazam;Psi Pokémon;psychic;50;65;50.0;1.5;1
Alomomola;Caring Pokémon;water;75;80;75.0;1.2;5
Altaria;Humming Pokémon;flying;110;110;45.0;1.1;3
Amaura;Tundra Pokémon;ice;59;50;45.0;1.3;6
Ambipom;Long Tail Pokémon;normal;100;66;45.0;1.2;4
Amoonguss;Mushroom Pokémon;poison;85;70;75.0;0.6;5
Ampharos;Light Pokémon;electric;95;105;45.0;1.4;2
Anorith;Old Shrimp Pokémon;bug;95;50;45.0;0.7;3
Araquanid;Water Bubble Pokémon;water;70;92;100.0;1.8;7
Arcanine;Legendary Pokémon;fire;110;80;75.0;1.9;1
Archen;First Bird Pokémon;flying;112;45;45.0;0.5;5
Archeops;First Bird Pokémon;flying;140;65;45.0;1.4;5
Ariados;Long Leg Pokémon;poison;90;70;90.0;1.1;2
Armaldo;Plate Pokémon;bug;125;100;45.0;1.5;3
Aron;Iron Armor Pokémon;rock;70;100;180.0;0.4;3
Articuno;Freeze Pokémon;flying;85;100;3.0;1.7;1
Aurorus;Tundra Pokémon;ice;77;72;45.0;2.7;6
Avalugg;Iceberg Pokémon;ice;117;184;55.0;2.0;6
Azelf;Willpower Pokémon;psychic;125;70;3.0;0.3;4
Azumarill;Aquarabbit Pokémon;fairy;50;80;75.0;0.8;2
Bagon;Rock Head;dragon;75;60;45.0;0.6;3
Baltoy;Clay Doll Pokémon;psychic;40;55;255.0;0.5;3
Banette;Marionette Pokémon;ghost;165;75;45.0;1.1;3
Barbaracle;Collective Pokémon;water;105;115;45.0;1.3;6
Barboach;Whiskers Pokémon;ground;48;43;190.0;0.4;3
Basculin;Hostile Pokémon;water;92;65;25.0;1.0;5
Bayleef;Leaf Pokémon;grass;62;80;45.0;1.2;2
Beartic;Freezing Pokémon;ice;130;80;60.0;2.6;5
Beautifly;Butterfly Pokémon;flying;70;50;45.0;1.0;3
Beheeyem;Cerebral Pokémon;psychic;75;75;90.0;1.0;5
Beldum;Iron Ball Pokémon;psychic;55;80;3.0;0.6;3
Bewear;Strong Arm Pokémon;fighting;125;80;70.0;2.1;7
Bidoof;Plump Mouse Pokémon;normal;45;40;255.0;0.5;4
Binacle;Two-Handed Pokémon;water;52;67;120.0;0.5;6
Bisharp;Sword Blade Pokémon;steel;125;100;45.0;1.6;5
Blastoise;Shellfish Pokémon;water;103;120;45.0;1.6;1
Blaziken;Blaze Pokémon;fighting;160;80;45.0;1.9;3
Blitzle;Electrified Pokémon;electric;60;32;190.0;0.8;5
Boldore;Ore Pokémon;rock;105;105;120.0;0.9;5
Bouffalant;Bash Buffalo Pokémon;normal;110;95;45.0;1.6;5
Bounsweet;Fruit Pokémon;grass;30;38;235.0;0.3;7
Braixen;Fox Pokémon;fire;59;58;45.0;1.0;6
Breloom;Mushroom Pokémon;fighting;130;80;90.0;1.2;3
Brionne;Pop Star Pokémon;water;69;69;45.0;0.6;7
Bronzong;Bronze Bell Pokémon;psychic;89;116;90.0;1.3;4
Budew;Bud Pokémon;poison;30;35;255.0;0.2;4
Buizel;Sea Weasel Pokémon;water;65;35;190.0;0.7;4
Burmy;Bagworm Pokémon;bug;29;45;120.0;0.2;4
Butterfree;Butterfly Pokémon;flying;45;50;45.0;1.1;1
Buzzwole;Swollen Pokémon;fighting;139;139;25.0;2.4;7
Camerupt;Eruption Pokémon;ground;120;100;150.0;1.9;3
Carnivine;Bug Catcher Pokémon;grass;-10;72;200.0;1.4;4
Carvanha;Savage Pokémon;dark;90;20;225.0;0.8;3
